Generation,Fitness,TimeTaken,BTB,BTB_TIME,CAN_SHARE_ROOM,DIFF_TIME,MEET_WITH,NHB,NHB_GTE,SAME_DAYS,SAME_INSTR,SAME_ROOM,SAME_START,SAME_TIME,SAME_STUDENTS,SPREAD,ROOM_CONFLICTS
2,40802584,4989,12,0,0,2,11,1,3,4,0,13,13,1,17,0,408
3,39702804,4952,12,0,0,3,12,1,3,5,0,14,17,2,13,0,397
4,37302724,4952,12,0,0,2,12,1,3,5,0,13,15,3,14,0,373
5,36602584,5087,12,0,0,1,12,1,3,3,0,13,14,3,14,0,366
6,3.600274E+07,4901,12,0,0,1,11,1,3,5,0,11,15,2,19,0,360
7,3.520284E+07,5126,12,0,0,1,11,1,3,4,0,14,12,3,22,0,352
8,35002616,5047,12,0,0,1,11,1,3,5,0,11,10,3,20,0,350
9,31902666,4924,12,0,0,1,12,1,3,3,0,12,16,3,15,0,319
10,31902666,5062,12,0,0,1,12,1,3,3,0,12,16,3,15,0,319
11,3.120268E+07,5147,12,0,0,1,12,1,3,3,0,15,14,2,15,0,312
12,30902904,5103,12,0,0,1,12,1,3,5,0,14,16,3,18,0,309
13,3.090256E+07,5188,12,0,0,0,11,1,3,5,0,14,15,2,13,0,309
14,29302876,5060,12,0,0,2,11,1,3,5,0,14,15,2,18,0,293
15,29302876,5125,12,0,0,2,11,1,3,5,0,14,15,2,18,0,293
16,2.870275E+07,5129,12,0,0,1,12,1,3,5,0,14,17,2,14,0,287
17,27902804,4916,12,0,0,1,11,1,3,5,0,14,15,2,18,0,279
18,27902758,5134,12,0,0,0,12,1,3,5,0,11,13,3,21,0,279
19,26402868,5035,12,0,0,1,10,1,3,5,0,15,15,3,18,0,264
20,26402868,5138,12,0,0,1,10,1,3,5,0,15,15,3,18,0,264
21,25302682,5078,12,0,0,0,12,1,3,4,0,14,16,2,14,0,253
22,25302682,5017,12,0,0,0,12,1,3,4,0,14,16,2,14,0,253
23,24302814,5008,12,0,0,1,12,1,3,5,0,14,15,2,17,0,243
24,2.430278E+07,5188,12,0,0,1,12,1,3,3,0,12,15,3,19,0,243
25,23202528,4911,12,0,0,0,12,1,3,2,0,14,14,3,14,0,232
26,23202528,5123,12,0,0,0,12,1,3,2,0,14,14,3,14,0,232
27,23202528,5198,12,0,0,0,12,1,3,2,0,14,14,3,14,0,232
28,22702562,4911,12,0,0,1,12,1,3,3,0,14,14,2,14,0,227
29,21602694,5189,12,0,0,1,12,1,3,4,0,13,15,3,15,0,216
30,21502774,5096,12,0,0,1,12,1,3,5,0,13,14,2,18,0,215
31,21102598,5086,12,0,0,1,12,1,3,4,0,13,13,1,17,0,211
32,20502726,5207,12,0,0,1,12,1,3,4,0,14,14,3,16,0,205
33,20502726,5051,12,0,0,1,12,1,3,4,0,14,14,3,16,0,205
