Generation,Fitness,TimeTaken,BTB,BTB_TIME,CAN_SHARE_ROOM,DIFF_TIME,MEET_WITH,NHB,NHB_GTE,SAME_DAYS,SAME_INSTR,SAME_ROOM,SAME_START,SAME_TIME,SAME_STUDENTS,SPREAD,ROOM_CONFLICTS
2,7.580323E+07,4268,12,0,0,1,12,1,3,4,0,15,16,3,25,0,758
3,7.190319E+07,4276,12,0,0,3,11,1,3,4,0,14,14,3,27,0,719
4,6.890301E+07,4113,12,0,0,1,12,1,3,5,0,12,16,2,24,0,689
5,64303124,4261,12,0,0,1,12,1,3,4,0,14,15,2,26,0,643
6,62703064,4163,12,0,0,1,12,1,3,4,0,14,17,2,23,0,627
7,61302868,4035,12,0,0,1,11,1,3,4,0,12,15,3,22,0,613
8,59003064,4213,12,0,0,1,12,1,3,3,0,14,16,2,25,0,590
9,57303136,4234,12,0,0,2,12,1,3,4,0,14,15,3,25,0,573
10,55703068,4072,12,0,0,1,12,1,3,4,0,13,15,3,25,0,557
11,54402996,4234,12,0,0,1,11,1,3,4,0,13,14,1,27,0,544
12,52502996,4336,12,0,0,1,11,1,3,4,0,13,14,1,27,0,525
13,5.180319E+07,4126,12,0,0,1,12,1,3,4,0,13,14,3,29,0,518
14,50503164,4092,12,0,0,1,11,1,3,4,0,13,15,3,28,0,505
15,4.960304E+07,4199,12,0,0,1,11,1,3,4,0,13,14,2,27,0,496
16,48803036,4196,12,0,0,1,11,1,3,4,0,13,14,3,26,0,488
17,48103076,4041,12,0,0,1,11,1,3,4,0,14,15,3,25,0,481
18,47203076,4106,12,0,0,1,11,1,3,4,0,13,14,3,27,0,472
19,46403044,4608,12,0,0,1,11,1,3,4,0,13,15,3,25,0,464
20,45703028,4220,12,0,0,1,11,1,3,4,0,13,15,3,25,0,457
21,45102876,4462,12,0,0,0,11,1,3,4,0,13,14,3,23,0,451
22,4.430291E+07,4898,12,0,0,1,11,1,3,4,0,12,15,3,23,0,443
23,44002924,4419,12,0,0,1,11,1,3,4,0,12,15,3,23,0,440
24,43502908,4130,12,0,0,1,11,1,3,4,0,12,15,3,23,0,435
25,42702908,4117,12,0,0,1,11,1,3,4,0,12,15,3,23,0,427
