Generation,Fitness,TimeTaken,BTB,BTB_TIME,CAN_SHARE_ROOM,DIFF_TIME,MEET_WITH,NHB,NHB_GTE,SAME_DAYS,SAME_INSTR,SAME_ROOM,SAME_START,SAME_TIME,SAME_STUDENTS,SPREAD,ROOM_CONFLICTS
2,4.060269E+07,5206,12,0,0,1,11,1,3,4,0,13,14,3,17,0,406
3,37302696,5082,12,0,0,1,12,1,3,4,0,12,16,3,16,0,373
4,35002596,4933,12,0,0,1,12,1,3,3,0,14,16,3,12,0,350
5,3.380256E+07,5045,12,0,0,1,12,1,3,3,0,12,17,3,12,0,338
6,32002496,4966,12,0,0,0,12,1,3,3,0,11,15,3,15,0,320
7,30102618,4826,12,0,0,1,12,1,3,3,0,12,15,3,16,0,301
8,28902692,4989,12,0,0,2,12,1,3,5,0,13,15,3,13,0,289
9,27002722,4880,12,0,0,1,12,1,3,4,0,13,14,3,17,0,270
10,25702672,4755,12,0,0,1,12,1,3,5,0,12,15,3,15,0,257
11,2.500272E+07,4957,12,0,0,1,12,1,3,5,0,13,14,3,16,0,250
12,2.400267E+07,4974,12,0,0,1,12,1,3,4,0,14,15,3,14,0,240
13,23102586,4870,12,0,0,1,12,1,3,4,0,13,13,3,15,0,231
14,22102718,4952,12,0,0,1,11,1,3,5,0,13,16,3,15,0,221
15,21502656,4878,12,0,0,1,11,1,3,4,0,13,15,3,16,0,215
16,2.090271E+07,5039,12,0,0,1,12,1,3,5,0,13,14,3,16,0,209
17,19902592,5611,12,0,0,1,11,1,3,4,0,13,13,3,17,0,199
18,18902616,5348,12,0,0,2,11,1,3,4,0,12,14,3,16,0,189
19,18102538,5181,12,0,0,2,11,1,3,4,0,13,15,2,13,0,181
20,17902576,4954,12,0,0,2,11,1,3,4,0,13,15,3,13,0,179
21,17502614,4905,12,0,0,2,11,1,3,5,0,13,15,3,13,0,175
22,17102488,4986,12,0,0,1,11,1,3,4,0,12,15,2,14,0,171
23,16402571,5055,12,0,0,2,11,1,3,4,0,13,15,2,14,0,164
24,16002591,4782,12,0,0,2,11,1,3,5,0,12,15,3,13,0,160
25,15702531,5056,12,0,0,2,11,1,3,5,0,12,15,2,13,0,157
26,15302587,4937,12,0,0,2,11,1,3,5,0,13,14,3,13,0,153
27,15102541,4768,12,0,0,0,11,1,3,5,0,12,15,2,15,0,151
