Generation,Fitness,TimeTaken,BTB,BTB_TIME,CAN_SHARE_ROOM,DIFF_TIME,MEET_WITH,NHB,NHB_GTE,SAME_DAYS,SAME_INSTR,SAME_ROOM,SAME_START,SAME_TIME,SAME_STUDENTS,SPREAD,ROOM_CONFLICTS
2,41002628,5010,12,0,0,0,12,1,3,4,0,12,15,3,16,0,410
3,3.910272E+07,5180,12,0,0,2,11,1,3,3,0,13,15,3,17,0,391
4,36802776,5047,12,0,0,1,12,1,3,4,0,11,15,3,19,0,368
5,3.630271E+07,5241,12,0,0,2,11,1,3,5,0,14,15,3,13,0,363
6,3.57026E+07,5005,12,0,0,0,12,1,3,3,0,14,15,3,14,0,357
7,33202618,5015,12,0,0,1,12,1,3,3,0,14,12,3,17,0,332
8,32602642,5114,12,0,0,0,12,1,3,4,0,13,14,3,16,0,326
9,31602526,4983,12,0,0,0,11,1,3,5,0,12,12,3,16,0,316
10,3.110279E+07,5159,12,0,0,2,12,1,3,4,0,13,14,3,18,0,311
11,30402498,5236,12,0,0,0,11,1,3,3,0,14,13,3,14,0,304
12,27902676,4976,12,0,0,1,11,1,3,4,0,15,12,3,17,0,279
13,27902676,5149,12,0,0,1,11,1,3,4,0,15,12,3,17,0,279
14,27102502,5516,12,0,0,1,11,1,3,5,0,10,14,3,14,0,271
15,26402568,4963,12,0,0,0,11,1,3,4,0,11,13,3,17,0,264
16,25502694,5263,12,0,0,1,11,1,3,5,0,13,14,3,15,0,255
17,24802796,5440,12,0,0,1,12,1,3,5,0,12,15,3,17,0,248
18,24402728,5162,12,0,0,0,12,1,3,5,0,13,14,3,17,0,244
19,23702734,5356,12,0,0,1,12,1,3,4,0,14,16,2,15,0,237
20,23602652,5079,12,0,0,0,12,1,3,4,0,14,13,3,16,0,236
21,22902666,4839,12,0,0,0,11,1,3,4,0,12,14,3,18,0,229
22,22502534,5172,12,0,0,0,12,1,3,4,0,9,15,3,16,0,225
23,21402686,5437,12,0,0,1,11,1,3,5,0,12,13,2,18,0,214
24,21202754,4910,12,0,0,1,12,1,3,5,0,13,14,3,16,0,212
25,20402748,5245,12,0,0,2,11,1,3,4,0,11,12,3,21,0,204
26,20002784,5279,12,0,0,2,12,1,3,4,0,13,13,3,18,0,200
27,19202654,4882,12,0,0,0,12,1,3,3,0,13,13,3,18,0,192
28,19002558,5073,12,0,0,1,11,1,3,3,0,10,11,3,20,0,190
29,18202592,5101,12,0,0,0,12,1,3,3,0,11,11,2,21,0,182
30,17502732,5017,12,0,0,0,12,1,3,4,0,13,15,3,17,0,175
31,17502732,5182,12,0,0,0,12,1,3,4,0,13,15,3,17,0,175
32,1.720269E+07,4879,12,0,0,0,12,1,3,5,0,13,13,3,17,0,172
33,16502659,5007,12,0,0,0,11,1,3,5,0,13,12,3,18,0,165
34,16502659,5279,12,0,0,0,11,1,3,5,0,13,12,3,18,0,165
35,15802545,5014,12,0,0,1,11,1,3,4,0,11,13,3,16,0,158
36,15702544,4902,12,0,0,0,11,1,3,5,0,11,14,3,15,0,157
37,15002527,5091,12,0,0,1,12,1,3,4,0,10,13,3,15,0,150
38,14902733,4937,12,0,0,1,12,1,3,5,0,13,13,3,17,0,149
39,14402689,4896,12,0,0,0,12,1,3,4,0,13,14,3,17,0,144
40,14102774,4957,12,0,0,0,12,1,3,5,0,15,13,3,17,0,141
41,14102637,5133,12,0,0,2,11,1,3,5,0,12,15,3,13,0,141
42,13702671,5016,12,0,0,1,12,1,3,5,0,13,14,3,14,0,137
43,13202516,5046,12,0,0,0,12,1,3,5,0,11,14,3,13,0,132
44,1.310259E+07,4845,12,0,0,2,12,1,3,3,0,11,14,3,15,0,131
45,12902552,5149,12,0,0,1,12,1,3,3,0,11,14,3,15,0,129
46,12602621,5148,12,0,0,1,12,1,3,4,0,13,15,3,13,0,126
47,1.26026E+07,4898,12,0,0,1,12,1,3,3,0,10,14,3,17,0,126
48,12202608,5038,12,0,0,1,12,1,3,3,0,11,13,3,18,0,122
49,12102498,5098,12,0,0,1,12,1,3,3,0,10,14,3,15,0,121
50,11602615,4915,12,0,0,1,12,1,3,4,0,11,14,3,16,0,116
51,11602584,4942,12,0,0,1,12,1,3,4,0,10,13,3,17,0,116
52,11202632,4874,12,0,0,1,11,1,3,4,0,12,14,3,16,0,112
53,1.110247E+07,4810,12,0,0,0,11,1,3,3,0,10,14,3,16,0,111
54,10802542,4944,12,0,0,1,11,1,3,4,0,11,13,3,16,0,108
55,10702533,4904,12,0,0,1,12,1,3,3,0,10,14,3,16,0,107
56,10402545,5029,12,0,0,0,11,1,3,3,0,12,14,3,16,0,104
57,10302547,5028,12,0,0,2,11,1,3,3,0,10,14,3,16,0,103
58,10202621,4856,12,0,0,2,11,1,3,3,0,11,15,2,17,0,102
59,10002507,4720,12,0,0,1,11,1,3,3,0,10,14,3,16,0,100
60,9802620,4913,12,0,0,1,11,1,3,3,0,11,14,3,18,0,98
