Generation,Fitness,TimeTaken,BTB,BTB_TIME,CAN_SHARE_ROOM,DIFF_TIME,MEET_WITH,NHB,NHB_GTE,SAME_DAYS,SAME_INSTR,SAME_ROOM,SAME_START,SAME_TIME,SAME_STUDENTS,SPREAD,ROOM_CONFLICTS
2,7.680304E+07,4411,12,0,0,2,12,1,3,4,0,14,14,2,24,0,768
3,72103016,4505,12,0,0,2,12,1,3,3,0,15,13,2,25,0,721
4,6.870305E+07,4415,12,0,0,2,12,1,3,4,0,14,14,2,25,0,687
5,66402988,4497,12,0,0,3,12,1,3,4,0,15,14,2,21,0,664
6,63603016,4543,12,0,0,3,12,1,3,4,0,15,13,2,23,0,636
7,6.160301E+07,4521,12,0,0,2,12,1,3,4,0,15,14,2,23,0,616
8,59503108,4627,12,0,0,3,12,1,3,4,0,14,16,3,22,0,595
9,56802984,4511,12,0,0,1,12,1,3,4,0,15,14,2,23,0,568
10,55502996,4436,12,0,0,2,12,1,3,4,0,14,16,3,20,0,555
11,54103036,4553,12,0,0,1,12,1,3,4,0,15,14,2,24,0,541
12,52202996,5134,12,0,0,1,12,1,3,4,0,14,15,3,22,0,522
13,51302988,4449,12,0,0,1,12,1,3,4,0,14,16,2,22,0,513
14,50503108,4493,12,0,0,3,12,1,3,4,0,14,16,2,23,0,505
15,4.950306E+07,4481,12,0,0,1,12,1,3,4,0,15,15,2,24,0,495
16,48302988,4536,12,0,0,1,12,1,3,4,0,14,16,2,22,0,483
17,47702948,4407,12,0,0,1,12,1,3,4,0,14,15,2,22,0,477
18,4.710294E+07,4375,12,0,0,1,12,1,3,4,0,14,15,2,22,0,471
19,46102988,4457,12,0,0,1,12,1,3,4,0,14,16,2,22,0,461
20,45402976,4473,12,0,0,1,12,1,3,4,0,14,16,2,22,0,454
21,44102956,4417,12,0,0,1,12,1,3,4,0,14,15,2,22,0,441
22,4.360296E+07,4366,12,0,0,1,12,1,3,4,0,14,15,2,22,0,436
23,42902948,4373,12,0,0,1,12,1,3,4,0,14,15,2,22,0,429
24,42102948,4398,12,0,0,1,12,1,3,4,0,13,14,2,24,0,421
25,41402948,4560,12,0,0,1,12,1,3,4,0,14,15,3,21,0,414
26,40702956,4439,12,0,0,1,12,1,3,4,0,14,15,3,21,0,407
27,40002948,4413,12,0,0,1,12,1,3,4,0,14,15,3,21,0,400
28,3.960294E+07,4380,12,0,0,1,12,1,3,4,0,14,14,3,22,0,396
29,38802956,4347,12,0,0,1,12,1,3,4,0,14,15,3,21,0,388
30,3.820295E+07,4359,12,0,0,1,12,1,3,4,0,14,14,3,22,0,382
31,38002908,4371,12,0,0,0,12,1,3,4,0,14,15,3,21,0,380
32,3.740295E+07,4314,12,0,0,1,12,1,3,4,0,14,15,3,21,0,374
33,36902996,4347,12,0,0,1,12,1,3,4,0,14,15,3,22,0,369
34,3.630304E+07,4354,12,0,0,1,12,1,3,4,0,14,14,3,24,0,363
35,35903036,4423,12,0,0,1,12,1,3,4,0,14,15,3,23,0,359
36,3.5503E+07,4369,12,0,0,1,12,1,3,4,0,14,15,3,22,0,355
37,3.520305E+07,4371,12,0,0,1,12,1,3,4,0,14,15,3,23,0,352
38,3.510305E+07,4323,12,0,0,1,12,1,3,4,0,13,14,3,25,0,351
39,3.4703E+07,4312,12,0,0,1,12,1,3,4,0,13,13,3,25,0,347
40,3.4503E+07,4330,12,0,0,1,12,1,3,4,0,12,13,3,26,0,345
41,3.430301E+07,4362,12,0,0,1,12,1,3,4,0,12,13,3,26,0,343
42,3.4103E+07,4308,12,0,0,1,12,1,3,4,0,12,13,3,26,0,341
43,3.3603E+07,4338,12,0,0,1,12,1,3,4,0,12,13,3,26,0,336
44,33402924,4335,12,0,0,1,12,1,3,4,0,12,13,3,24,0,334
45,33402924,4339,12,0,0,1,12,1,3,4,0,12,13,3,24,0,334
46,33202962,4704,12,0,0,1,12,1,3,4,0,12,13,3,25,0,332
47,32902914,4640,12,0,0,1,12,1,3,4,0,12,13,3,24,0,329
48,3.260299E+07,4456,12,0,0,1,12,1,3,4,0,12,13,3,26,0,326
49,32502926,4379,12,0,0,1,12,1,3,4,0,12,13,3,24,0,325
50,3.220291E+07,4515,12,0,0,1,12,1,3,4,0,12,13,3,24,0,322
51,32002876,4430,12,0,0,1,12,1,3,4,0,12,13,2,24,0,320
52,31802826,4390,12,0,0,1,12,1,3,4,0,11,13,2,24,0,318
53,3.150288E+07,4390,12,0,0,1,12,1,3,4,0,12,13,2,24,0,315
54,31202906,4378,12,0,0,1,12,1,3,4,0,12,13,3,24,0,312
55,30902918,4400,12,0,0,1,12,1,3,4,0,12,13,3,24,0,309
56,30602912,4376,12,0,0,1,12,1,3,4,0,12,13,3,24,0,306
57,30502802,4427,12,0,0,1,11,1,3,4,0,12,13,2,23,0,305
58,30002914,4380,12,0,0,1,12,1,3,4,0,12,13,3,24,0,300
59,2.970292E+07,4399,12,0,0,1,11,1,3,4,0,12,14,3,24,0,297
60,2.96028E+07,4392,12,0,0,1,11,1,3,4,0,11,13,3,23,0,296
61,29102836,4407,12,0,0,1,11,1,3,4,0,12,13,2,24,0,291
62,2.890288E+07,4384,12,0,0,1,11,1,3,4,0,12,14,2,24,0,289
63,28902796,4381,12,0,0,1,11,1,3,4,0,11,12,3,24,0,289
64,28802758,4407,12,0,0,1,11,1,3,3,0,12,13,2,23,0,288
