Generation,Fitness,TimeTaken,BTB,BTB_TIME,CAN_SHARE_ROOM,DIFF_TIME,MEET_WITH,NHB,NHB_GTE,SAME_DAYS,SAME_INSTR,SAME_ROOM,SAME_START,SAME_TIME,SAME_STUDENTS,SPREAD,ROOM_CONFLICTS
2,3.940275E+07,4611,12,0,0,3,12,1,3,4,0,15,13,3,15,0,394
3,37702732,4993,12,0,0,1,12,1,3,5,0,13,15,3,16,0,377
4,36402656,4959,12,0,0,0,12,1,3,4,0,14,14,2,16,0,364
5,3.530275E+07,4858,12,0,0,2,12,1,3,3,0,15,14,3,16,0,353
6,35202836,5112,12,0,0,2,12,1,3,3,0,15,17,3,15,0,352
7,3.390282E+07,5094,12,0,0,1,12,1,3,3,0,14,17,3,16,0,339
8,32802864,4902,12,0,0,2,12,1,3,4,0,15,15,3,16,0,328
9,3.070271E+07,5000,12,0,0,1,12,1,3,3,0,13,16,3,16,0,307
10,30702702,5054,12,0,0,1,12,1,3,4,0,13,16,2,16,0,307
11,29702762,4918,12,0,0,1,12,1,3,4,0,13,16,3,15,0,297
12,29202858,5145,12,0,0,3,12,1,3,4,0,14,16,3,15,0,292
13,28602618,5057,12,0,0,2,11,1,3,2,0,14,15,3,14,0,286
14,28002586,5027,12,0,0,1,12,1,3,2,0,14,14,2,15,0,280
15,26502486,5044,12,0,0,1,11,1,3,2,0,13,14,3,14,0,265
16,26402584,5134,12,0,0,1,12,1,3,2,0,14,16,3,13,0,264
17,2.490282E+07,5269,12,0,0,2,12,1,3,3,0,15,16,3,15,0,249
18,2.490282E+07,5239,12,0,0,2,12,1,3,3,0,15,16,3,15,0,249
19,2.420268E+07,5063,12,0,0,1,12,1,3,3,0,13,16,3,15,0,242
20,23602724,5071,12,0,0,2,12,1,3,4,0,12,16,3,15,0,236
21,22702566,5076,12,0,0,1,12,1,3,3,0,12,17,3,13,0,227
22,2.220279E+07,4805,12,0,0,1,12,1,3,3,0,14,14,3,19,0,222
23,21702806,5132,12,0,0,1,12,1,3,4,0,14,16,3,16,0,217
24,21202816,5350,12,0,0,2,12,1,3,4,0,13,16,3,16,0,212
25,20402684,5142,12,0,0,1,12,1,3,4,0,12,17,3,14,0,204
26,19902756,5240,12,0,0,1,12,1,3,3,0,13,16,3,17,0,199
27,1.89028E+07,5230,12,0,0,1,12,1,3,4,0,14,16,3,16,0,189
28,18702768,4828,12,0,0,1,12,1,3,2,0,14,14,3,19,0,187
29,18702768,4977,12,0,0,1,12,1,3,2,0,14,14,3,19,0,187
30,17902758,4895,12,0,0,0,12,1,3,3,0,15,15,3,17,0,179
31,17702742,4885,12,0,0,0,12,1,3,3,0,14,14,3,19,0,177
32,17402668,5394,12,0,0,0,12,1,3,3,0,14,15,3,16,0,174
33,16602728,5128,12,0,0,0,12,1,3,4,0,14,16,3,15,0,166
34,15702683,4864,12,0,0,0,12,1,3,5,0,14,16,3,13,0,157
35,15702683,5009,12,0,0,0,12,1,3,5,0,14,16,3,13,0,157
36,15702683,5169,12,0,0,0,12,1,3,5,0,14,16,3,13,0,157
37,15302683,4979,12,0,0,0,12,1,3,4,0,14,16,3,14,0,153
38,14702597,5090,12,0,0,0,12,1,3,3,0,13,14,3,16,0,147
39,14702597,5064,12,0,0,0,12,1,3,3,0,13,14,3,16,0,147
40,14502617,5115,12,0,0,1,12,1,3,3,0,14,15,3,14,0,145
41,13902589,5008,12,0,0,1,12,1,3,3,0,13,15,3,14,0,139
42,13402684,4746,12,0,0,1,12,1,3,4,0,14,16,3,13,0,134
43,13402643,4976,12,0,0,1,12,1,3,3,0,13,14,3,16,0,134
44,13302644,5133,12,0,0,0,12,1,3,4,0,13,15,3,15,0,133
45,12902653,4842,12,0,0,0,12,1,3,3,0,15,15,3,14,0,129
46,12302665,4868,12,0,0,0,12,1,3,3,0,14,15,3,16,0,123
47,12302665,4970,12,0,0,0,12,1,3,3,0,14,15,3,16,0,123
48,12002689,4818,12,0,0,0,12,1,3,3,0,15,15,3,15,0,120
49,11702747,5168,12,0,0,0,12,1,3,4,0,15,15,3,15,0,117
50,11402692,5088,12,0,0,0,12,1,3,4,0,14,15,3,15,0,114
51,10902703,4747,12,0,0,0,12,1,3,4,0,14,15,3,15,0,109
52,10902703,4904,12,0,0,0,12,1,3,4,0,14,15,3,15,0,109
53,1.030271E+07,4921,12,0,0,0,12,1,3,4,0,14,14,3,16,0,103
54,10302644,4816,12,0,0,0,12,1,3,3,0,14,14,3,16,0,103
55,10302609,4911,12,0,0,0,12,1,3,3,0,14,14,3,15,0,103
56,9902615,4867,12,0,0,0,12,1,3,3,0,13,14,3,16,0,99
57,9802726,4791,12,0,0,0,12,1,3,5,0,14,14,3,16,0,98
58,9702747,4887,12,0,0,0,12,1,3,5,0,14,15,3,15,0,97
59,9402644,4920,12,0,0,0,12,1,3,4,0,13,14,3,16,0,94
60,9102642,4747,12,0,0,0,12,1,3,5,0,13,15,3,14,0,91
61,9102642,5131,12,0,0,0,12,1,3,5,0,13,15,3,14,0,91
62,8802659,5226,12,0,0,0,11,1,3,5,0,14,13,3,16,0,88
63,8602662,4887,12,0,0,0,12,1,3,4,0,13,14,3,16,0,86
64,8602662,4974,12,0,0,0,12,1,3,4,0,13,14,3,16,0,86
65,8502707,5162,12,0,0,0,12,1,3,5,0,14,14,3,15,0,85
66,8402655,5013,12,0,0,0,12,1,3,4,0,14,14,3,15,0,84
67,8002692,5063,12,0,0,0,12,1,3,4,0,14,15,3,15,0,80
68,8002692,4861,12,0,0,0,12,1,3,4,0,14,15,3,15,0,80
69,8002692,4689,12,0,0,0,12,1,3,4,0,14,15,3,15,0,80
70,7902709,4808,12,0,0,0,12,1,3,4,0,14,15,3,15,0,79
71,7602653,4897,12,0,0,0,12,1,3,4,0,13,14,3,16,0,76
72,7202576.5,4743,12,0,0,0,12,1,3,4,0,14,15,3,12,0,72
73,7202576.5,4729,12,0,0,0,12,1,3,4,0,14,15,3,12,0,72
74,7202576.5,5039,12,0,0,0,12,1,3,4,0,14,15,3,12,0,72
75,7202576.5,4713,12,0,0,0,12,1,3,4,0,14,15,3,12,0,72
76,7102568.5,4885,12,0,0,0,12,1,3,4,0,13,15,3,13,0,71
77,7102568.5,4985,12,0,0,0,12,1,3,4,0,13,15,3,13,0,71
78,7102528.5,4819,12,0,0,0,12,1,3,4,0,13,15,3,12,0,71
79,6902611,4927,12,0,0,0,12,1,3,5,0,14,15,3,12,0,69
80,6902611,5310,12,0,0,0,12,1,3,5,0,14,15,3,12,0,69
81,6902611,4743,12,0,0,0,12,1,3,5,0,14,15,3,12,0,69
82,6902485,4948,12,0,0,0,12,1,3,2,0,13,15,3,13,0,69
83,6902485,4867,12,0,0,0,12,1,3,2,0,13,15,3,13,0,69
84,6702618.5,4687,12,0,0,1,12,1,3,4,0,13,15,3,13,0,67
85,6702618.5,4904,12,0,0,1,12,1,3,4,0,13,15,3,13,0,67
86,6502647.5,4895,12,0,0,0,12,1,3,5,0,14,16,3,12,0,65
87,6502647.5,4710,12,0,0,0,12,1,3,5,0,14,16,3,12,0,65
88,6502562.5,5106,12,0,0,0,12,1,3,4,0,13,15,3,13,0,65
89,6402596.5,4954,12,0,0,0,12,1,3,5,0,14,15,3,12,0,64
90,6402570,4767,12,0,0,0,12,1,3,4,0,13,15,3,13,0,64
91,6302527.5,4956,12,0,0,0,11,1,3,4,0,13,15,3,13,0,63
92,6302519,5326,12,0,0,0,11,1,3,4,0,13,15,3,13,0,63
93,6302519,4799,12,0,0,0,11,1,3,4,0,13,15,3,13,0,63
94,6302519,4802,12,0,0,0,11,1,3,4,0,13,15,3,13,0,63
95,6302519,4931,12,0,0,0,11,1,3,4,0,13,15,3,13,0,63
96,6302519,4860,12,0,0,0,11,1,3,4,0,13,15,3,13,0,63
97,6002526,4885,12,0,0,0,11,1,3,4,0,13,14,3,14,0,60
98,6002526,4895,12,0,0,0,11,1,3,4,0,13,14,3,14,0,60
99,6002526,5016,12,0,0,0,11,1,3,4,0,13,14,3,14,0,60
100,6002516,5282,12,0,0,0,11,1,3,4,0,13,15,3,13,0,60
101,5902562,122170,12,0,0,0,11,1,3,5,0,13,14,3,14,0,59
102,5902562,5211,12,0,0,0,11,1,3,5,0,13,14,3,14,0,59
103,5902528,5457,12,0,0,0,11,1,3,4,0,13,14,3,14,0,59
104,5802470,5223,12,0,0,0,11,1,3,3,0,13,15,3,13,0,58
105,5802470,5328,12,0,0,0,11,1,3,3,0,13,15,3,13,0,58
106,5702486,5504,12,0,0,0,11,1,3,3,0,13,15,3,13,0,57
107,5602474.5,5285,12,0,0,0,11,1,3,3,0,13,15,3,13,0,56
