Generation,Fitness,TimeTaken,BTB,BTB_TIME,CAN_SHARE_ROOM,DIFF_TIME,MEET_WITH,NHB,NHB_GTE,SAME_DAYS,SAME_INSTR,SAME_ROOM,SAME_START,SAME_TIME,SAME_STUDENTS,SPREAD,ROOM_CONFLICTS
2,4.110258E+07,5183,12,0,0,0,12,1,3,5,0,13,14,3,14,0,411
3,3.870269E+07,5297,12,0,0,1,12,1,3,4,0,14,16,3,14,0,387
4,34902716,5205,12,0,0,1,12,1,3,5,0,14,14,3,15,0,349
5,3.390298E+07,5700,12,0,0,0,12,1,3,5,0,15,13,3,22,0,339
6,32902862,5545,12,0,0,1,12,1,3,5,0,15,13,3,18,0,329
7,31402904,5458,12,0,0,0,12,1,3,5,0,13,14,3,21,0,314
8,30403122,5276,12,0,0,1,12,1,3,5,0,15,14,3,24,0,304
9,29302792,6313,12,0,0,0,12,1,3,5,0,14,15,3,16,0,293
10,28102886,5682,12,0,0,1,12,1,3,5,0,13,13,3,21,0,281
11,26602844,5538,12,0,0,0,12,1,3,5,0,13,14,3,20,0,266
12,25402812,5292,12,0,0,1,12,1,3,5,0,13,14,3,18,0,254
13,24502852,5297,12,0,0,1,12,1,3,5,0,13,13,3,20,0,245
14,2.360281E+07,5281,12,0,0,0,12,1,3,5,0,14,14,3,18,0,236
15,23202848,5243,12,0,0,1,12,1,3,5,0,14,14,3,18,0,232
16,22702896,5320,12,0,0,1,12,1,3,5,0,14,13,3,20,0,227
17,21902742,5299,12,0,0,1,12,1,3,5,0,13,13,3,17,0,219
18,21202742,5453,12,0,0,0,12,1,3,5,0,14,12,3,18,0,212
19,20802732,5219,12,0,0,0,12,1,3,5,0,14,13,3,17,0,208
20,2.04027E+07,5411,12,0,0,0,12,1,3,5,0,14,12,3,17,0,204
21,19802738,5575,12,0,0,0,12,1,3,5,0,14,14,3,16,0,198
22,19202706,5300,12,0,0,0,12,1,3,5,0,14,14,3,15,0,192
23,18902648,5401,12,0,0,0,12,1,3,5,0,13,13,3,16,0,189
24,18502682,5153,12,0,0,0,12,1,3,5,0,13,13,3,17,0,185
25,18102688,5021,12,0,0,0,12,1,3,5,0,13,13,3,17,0,181
26,17702724,5032,12,0,0,0,12,1,3,5,0,13,13,3,18,0,177
27,17402674,5054,12,0,0,0,12,1,3,5,0,13,13,3,17,0,174
